store_id,item_id,forecast_date,predicted_qty,method
S002,P008,2024-01-12,44.98,RandomForest
S002,P008,2024-01-13,56.43,RandomForest
S002,P008,2024-01-14,56.34,RandomForest
S002,P008,2024-01-15,40.97,RandomForest
S002,P008,2024-01-16,44.98,RandomForest
S002,P008,2024-01-17,45.16,RandomForest
S002,P008,2024-01-18,44.94,RandomForest
S002,P008,2024-01-19,44.98,RandomForest
S002,P008,2024-01-20,56.77,RandomForest
S002,P008,2024-01-21,56.8,RandomForest
S002,P008,2024-01-22,41.0,RandomForest
S002,P008,2024-01-23,44.98,RandomForest
S002,P008,2024-01-24,45.22,RandomForest
S002,P008,2024-01-25,45.0,RandomForest
S002,P008,2024-01-26,45.01,RandomForest
S002,P008,2024-01-27,57.22,RandomForest
S002,P008,2024-01-28,57.12,RandomForest
S002,P008,2024-01-29,41.23,RandomForest
S002,P008,2024-01-30,45.08,RandomForest
S002,P009,2024-01-01,26.88,RandomForest
S002,P009,2024-01-02,28.24,RandomForest
S002,P009,2024-01-03,28.29,RandomForest
S002,P009,2024-01-04,28.38,RandomForest
S002,P009,2024-01-05,28.44,RandomForest
S002,P009,2024-01-06,34.3,RandomForest
S002,P009,2024-01-07,34.22,RandomForest
S002,P009,2024-01-08,26.82,RandomForest
S002,P009,2024-01-09,28.12,RandomForest
S002,P009,2024-01-10,28.22,RandomForest
S002,P009,2024-01-11,28.34,RandomForest
S002,P009,2024-01-12,28.35,RandomForest
S002,P009,2024-01-13,34.51,RandomForest
S002,P009,2024-01-14,34.43,RandomForest
S002,P009,2024-01-15,26.77,RandomForest
S002,P009,2024-01-16,28.1,RandomForest
S002,P009,2024-01-17,28.16,RandomForest
S002,P009,2024-01-18,28.32,RandomForest
S002,P009,2024-01-19,28.34,RandomForest
S002,P009,2024-01-20,34.62,RandomForest
S002,P009,2024-01-21,34.55,RandomForest
S002,P009,2024-01-22,26.89,RandomForest
S002,P009,2024-01-23,28.22,RandomForest
S002,P009,2024-01-24,28.27,RandomForest
S002,P009,2024-01-25,28.5,RandomForest
S002,P009,2024-01-26,28.53,RandomForest
S002,P009,2024-01-27,34.77,RandomForest
S002,P009,2024-01-28,34.65,RandomForest
S002,P009,2024-01-29,27.01,RandomForest
S002,P009,2024-01-30,28.24,RandomForest
S002,P010,2024-01-01,9.41,RandomForest
S002,P010,2024-01-02,9.8,RandomForest
S002,P010,2024-01-03,9.8,RandomForest
S002,P010,2024-01-04,9.7,RandomForest
S002,P010,2024-01-05,9.64,RandomForest
S002,P010,2024-01-06,13.0,RandomForest
S002,P010,2024-01-07,12.97,RandomForest
S002,P010,2024-01-08,9.29,RandomForest
S002,P010,2024-01-09,9.68,RandomForest
S002,P010,2024-01-10,9.7,RandomForest
S002,P010,2024-01-11,9.64,RandomForest
S002,P010,2024-01-12,9.6,RandomForest
S002,P010,2024-01-13,13.01,RandomForest
S002,P010,2024-01-14,13.05,RandomForest
S002,P010,2024-01-15,9.35,RandomForest
S002,P010,2024-01-16,9.75,RandomForest
S002,P010,2024-01-17,9.79,RandomForest
S002,P010,2024-01-18,9.74,RandomForest
S002,P010,2024-01-19,9.71,RandomForest
S002,P010,2024-01-20,12.93,RandomForest
S002,P010,2024-01-21,12.96,RandomForest
S002,P010,2024-01-22,9.49,RandomForest
S002,P010,2024-01-23,9.87,RandomForest
S002,P010,2024-01-24,9.96,RandomForest
S002,P010,2024-01-25,9.94,RandomForest
S002,P010,2024-01-26,9.9,RandomForest
S002,P010,2024-01-27,12.98,RandomForest
S002,P010,2024-01-28,12.97,RandomForest
S002,P010,2024-01-29,9.6,RandomForest
S002,P010,2024-01-30,9.98,RandomForest
